Area_name,Area_type,Average_2018_2019,Category,Count,Variation (%),Week_ending
Aberdeen City,HSC partnership,876,All,952,8.7,05 Jan 20
Aberdeenshire,HSC partnership,550.5,All,587,6.6,05 Jan 20
Angus,HSC partnership,210.5,All,224,6.4,05 Jan 20
Argyll & Bute,HSC partnership,219,All,303,38.4,05 Jan 20
Clackmannanshire & Stirling,HSC partnership,448,All,477,6.5,05 Jan 20
Dumfries & Galloway,HSC partnership,875.5,All,917,4.7,05 Jan 20
Dundee City,HSC partnership,549,All,561,2.2,05 Jan 20
East Ayrshire,HSC partnership,657.5,All,695,5.7,05 Jan 20
East Dunbartonshire,HSC partnership,391.5,All,394,0.6,05 Jan 20
East Lothian,HSC partnership,477.5,All,428,-10.4,05 Jan 20
East Renfrewshire,HSC partnership,395.5,All,350,-11.5,05 Jan 20
Edinburgh,HSC partnership,1998.5,All,2095,4.8,05 Jan 20
Falkirk,HSC partnership,734,All,775,5.6,05 Jan 20
Fife,HSC partnership,1406.5,All,1392,-1,05 Jan 20
Glasgow City,HSC partnership,3319,All,3279,-1.2,05 Jan 20
Highland,HSC partnership,947,All,1028,8.6,05 Jan 20
Inverclyde,HSC partnership,601,All,594,-1.2,05 Jan 20
Midlothian,HSC partnership,483.5,All,503,4,05 Jan 20
Moray,HSC partnership,466.5,All,564,20.9,05 Jan 20
NHS Ayrshire & Arran,Health board,1972.5,All,2048,3.8,05 Jan 20
NHS Borders,Health board,611,All,696,13.9,05 Jan 20
NHS Dumfries & Galloway,Health board,909.5,All,958,5.3,05 Jan 20
NHS Fife,Health board,1286.5,All,1317,2.4,05 Jan 20
NHS Forth Valley,Health board,1221,All,1289,5.6,05 Jan 20
NHS Grampian,Health board,1912,All,2111,10.4,05 Jan 20
NHS Greater Glasgow & Clyde,Health board,6786,All,6732,-0.8,05 Jan 20
NHS Highland,Health board,1149.5,All,1307,13.7,05 Jan 20
NHS Lanarkshire,Health board,3810,All,3937,3.3,05 Jan 20
NHS Lothian,Health board,4248,All,4282,0.8,05 Jan 20
NHS Orkney,Health board,114.5,All,135,17.9,05 Jan 20
NHS Shetland,Health board,141,All,139,-1.4,05 Jan 20
NHS Tayside,Health board,1392.5,All,1357,-2.5,05 Jan 20
NHS Western Isles,Health board,131,All,145,10.7,05 Jan 20
North Ayrshire,HSC partnership,706,All,716,1.4,05 Jan 20
North Lanarkshire,HSC partnership,2204,All,2303,4.5,05 Jan 20
Orkney Islands,HSC partnership,112.5,All,122,8.4,05 Jan 20
Perth & Kinross,HSC partnership,505,All,494,-2.2,05 Jan 20
Renfrewshire,HSC partnership,1096,All,1056,-3.6,05 Jan 20
Scotland,Scotland,25685,All,26453,3,05 Jan 20
Scottish Borders,HSC partnership,591,All,672,13.7,05 Jan 20
Shetland Islands,HSC partnership,134.5,All,138,2.6,05 Jan 20
South Ayrshire,HSC partnership,657.5,All,673,2.4,05 Jan 20
South Lanarkshire,HSC partnership,1905.5,All,1905,0,05 Jan 20
West Dunbartonshire,HSC partnership,347.5,All,386,11.1,05 Jan 20
